rank	singular_value	error_estimate
1	6490.37	0.00015397
2	4069.57	2.46428e-12
3	3829.72	2.87743e-12
4	3439.87	2.69069e-12
5	3115.42	2.89199e-12
6	2990.45	2.98158e-12
7	2764.79	3.07419e-12
8	2704.71	3.05566e-12
9	2676.65	2.79258e-12
10	2650.97	3.08985e-12
11	2535.89	2.91555e-12
12	2475.84	2.95229e-12
13	2447.86	2.90136e-12
14	2345.2	2.90284e-12
15	2269.51	3.01992e-12
16	2223.91	3.10757e-12
17	2180.53	3.15733e-12
18	2130.93	3.11625e-12
19	2101.23	3.15228e-12
20	2096.14	3.00246e-12
21	2024.6	3.22078e-12
22	1993.98	3.25436e-12
23	1973.08	3.34082e-12
24	1964	3.33754e-12
25	1921.52	3.18254e-12
26	1886.64	3.35168e-12
27	1877.62	3.30816e-12
28	1857.99	3.39315e-12
29	1845.08	3.41928e-12
30	1816.51	3.06273e-12
31	1806.58	3.03374e-12
32	1787.89	3.27865e-12
33	1782.58	3.15555e-12
34	1757.29	2.91319e-12
35	1744.7	2.98581e-12
36	1723.92	3.2333e-12
37	1714.29	3.31916e-12
38	1697.61	3.32393e-12
39	1687.7	3.24467e-12
40	1685.28	3.13025e-12
41	1674.56	3.13496e-12
42	1659.75	3.25049e-12
43	1645.97	3.31171e-12
44	1634.17	3.29475e-12
45	1625.43	3.28167e-12
46	1618.19	3.35199e-12
47	1615.07	3.41667e-12
48	1601.53	3.35133e-12
49	1593.87	3.40983e-12
50	1586.13	3.44151e-12
51	1580.65	3.28361e-12
52	1571.68	3.30045e-12
53	1562.56	3.37654e-12
54	1550.83	3.48974e-12
55	1543.52	3.18058e-12
56	1538.94	3.38873e-12
57	1526.32	3.28224e-12
58	1522.06	3.17862e-12
59	1514.51	3.05979e-12
60	1509.47	3.33257e-12
61	1503.7	3.22404e-12
62	1497.68	3.19911e-12
63	1486.46	3.25001e-12
64	1480.34	3.13582e-12
65	1464.31	3.43002e-12
66	1456.4	3.50634e-12
67	1451.95	3.34719e-12
68	1448.34	3.416e-12
69	1441.32	3.60365e-12
70	1436.53	3.31332e-12
71	1429.23	3.42442e-12
72	1425.09	3.5175e-12
73	1420.07	3.2228e-12
74	1418.73	3.31016e-12
75	1416.37	3.3279e-12
76	1409.6	3.20471e-12
77	1393.51	3.30572e-12
78	1391.91	3.14097e-12
79	1382.71	3.31417e-12
80	1381.52	3.25244e-12
81	1377.07	3.22185e-12
82	1374.22	3.39015e-12
83	1369.82	3.33661e-12
84	1364.08	3.20066e-12
85	1359.99	3.27147e-12
86	1356.02	3.28939e-12
87	1354.03	3.03234e-12
88	1351.48	3.23578e-12
89	1347.85	3.14352e-12
90	1344.11	3.15855e-12
91	1342.17	3.21068e-12
92	1338.62	3.24806e-12
93	1331.04	3.26721e-12
94	1327.98	3.36859e-12
95	1324.78	3.40975e-12
96	1323.72	3.3373e-12
97	1318.67	3.27488e-12
98	1316.24	3.23311e-12
99	1312.31	3.19407e-12
100	1307.52	3.38704e-12
101	1299.08	3.18047e-12
102	1296.38	3.19913e-12
103	1294.5	3.45281e-12
104	1291.22	3.30046e-12
105	1285.12	3.22064e-12
106	1277.75	3.4371e-12
107	1273.41	3.30919e-12
108	1267.67	3.46536e-12
109	1265	3.53089e-12
110	1262.64	3.54195e-12
111	1258.86	3.43539e-12
112	1255.41	3.43215e-12
113	1251.4	3.34459e-12
114	1249.73	3.00893e-12
115	1247.54	3.41661e-12
116	1244.77	3.30538e-12
117	1238.97	3.43762e-12
118	1236.72	3.70288e-12
119	1234.36	3.56478e-12
120	1229.46	3.27321e-12
121	1225.85	3.30942e-12
122	1220.17	3.27962e-12
123	1215.32	3.42844e-12
124	1212.69	3.21084e-12
125	1211.45	3.25006e-12
126	1209.93	3.28514e-12
127	1206.33	3.28569e-12
128	1205.25	3.13959e-12
129	1203.74	3.0614e-12
130	1202.43	3.05401e-12
131	1195.38	3.07518e-12
132	1193.23	3.26711e-12
133	1191.77	3.2176e-12
134	1187.62	3.19557e-12
135	1185.06	3.12683e-12
136	1182.88	3.07545e-12
137	1179.76	3.31751e-12
138	1177.4	3.26289e-12
139	1175.39	3.23422e-12
140	1171.74	3.36925e-12
141	1168.49	3.32925e-12
142	1167.88	3.27136e-12
143	1166.62	3.50046e-12
144	1161.72	3.2621e-12
145	1160.01	3.32535e-12
146	1158.57	3.17764e-12
147	1154.09	3.12323e-12
148	1147.93	3.32256e-12
149	1143.56	3.16023e-12
150	1140.35	3.05759e-12
151	1137.17	3.05387e-12
152	1132.48	3.20166e-12
153	1128.79	3.32851e-12
154	1127.94	3.16073e-12
155	1126.93	3.49764e-12
156	1125.57	3.00988e-12
157	1121.59	3.3376e-12
158	1115.8	3.09122e-12
159	1113.79	3.3176e-12
160	1105.75	3.13832e-12
161	1102.84	3.51006e-12
162	1100.37	3.38825e-12
163	1099.59	3.37418e-12
164	1097.36	3.22041e-12
