nsv 	 coverage 	 variance
50	0.356455207846	2597.55317952
100	0.423884680286	3088.92386699
150	0.467839468714	3409.23031201
200	0.5010562822	3651.28720327
250	0.527045382368	3840.67444825
300	0.549051135253	4001.0343255
350	0.567928155244	4138.59456369
400	0.584481012939	4259.21821343
450	0.599051155373	4365.39346062
500	0.61215975746	4460.91820056
550	0.624022150927	4547.36159426
600	0.634836824889	4626.17006757
650	0.644848962781	4699.13031627
700	0.6540329491	4766.05567558
750	0.662570757843	4828.27222273
800	0.670560932533	4886.49806209
850	0.677995206303	4940.67295152
900	0.68500949784	4991.7873549
950	0.691695214732	5040.50737579
1000	0.698085506389	5087.07457987
1050	0.704144394746	5131.22678854
1100	0.709833887165	5172.68714259
1150	0.715144988589	5211.39009345
1200	0.720072457276	5247.29744358
1250	0.724614783523	5280.39819151
1300	0.728775344438	5310.71694685
1350	0.73395578566	5348.46775332
1400	0.738969157833	5385.0010976
1450	0.743515722649	5418.13273275
1500	0.747658526189	5448.32208689
