nsv 	 coverage 	 variance
50	0.433782805293	16768.3127335
100	0.505274973257	19531.9147384
150	0.55186492807	21332.896527
200	0.585823352949	22645.5937602
250	0.61280229107	23688.4918791
300	0.634881128847	24541.9716669
350	0.653537828102	25263.1652317
400	0.669590801814	25883.7091542
450	0.683684429782	26428.5125868
500	0.696145639952	26910.2132596
550	0.707351988733	27343.4059972
600	0.717507806291	27735.9893887
650	0.726735327405	28092.688543
700	0.73527048435	28422.6236606
750	0.743182153932	28728.4572441
800	0.750514663941	29011.902829
850	0.757297354061	29274.0945703
900	0.763594547827	29517.5189595
950	0.76946540537	29744.4628911
1000	0.774989804491	29958.0141223
1050	0.78020278925	30159.5273166
1100	0.785132541125	30350.0918574
1150	0.789858593674	30532.782195
1200	0.794331890706	30705.7020126
1250	0.798585955744	30870.147196
1300	0.802648649645	31027.1947346
1350	0.806517025106	31176.7306976
1400	0.810196401685	31318.9607178
1450	0.814285170164	31477.0161955
1500	0.818240239897	31629.9034132
